Image,Dice PCA1,IoU PCA1,Dice PCA2,IoU PCA2,Dice PCA3,IoU PCA3,Dice PCA4,IoU PCA4,Dice PCA5,IoU PCA5
ISIC_0016063,0.028835133015624057,0.0146284734973681,0.028836872586872588,0.014629368917181857,0.028835133015624057,0.0146284734973681,0.02885950612811689,0.01464101935800049,0.028852538178306273,0.014637432631063204
ISIC_0015959,0.2914657160830363,0.17059401080019637,0.29097760100481473,0.17025967662910338,0.2914657160830363,0.17059401080019637,0.29145043769984796,0.17058354298337117,0.29143516091833527,0.1705730764510983
ISIC_0014288,0.2912784001675217,0.1704656862745098,0.29129364954714415,0.17047613211593848,0.29124790619765495,0.17044479843156476,0.29071290136713634,0.17007845060063742,0.29124790619765495,0.17044479843156476
ISIC_0016002,0.5317982456140351,0.36221060492905155,0.5356945213060321,0.36583522297808013,0.05851444948650585,0.03013900848812892,0.5500848896434635,0.3793911007025761,0.5441259134345138,0.37374517374517374
ISIC_0015019,0.6473477812177503,0.47857666015625,0.6473477812177503,0.47857666015625,0.6473477812177503,0.47857666015625,0.6473477812177503,0.47857666015625,0.6473477812177503,0.47857666015625
ISIC_0014687,0.5295279124035183,0.360107421875,0.5295279124035183,0.360107421875,0.5295279124035183,0.360107421875,0.5295279124035183,0.360107421875,0.5295279124035183,0.360107421875
ISIC_0012548,0.41990548751084966,0.2657470703125,0.41990548751084966,0.2657470703125,0.41990548751084966,0.2657470703125,0.41990548751084966,0.2657470703125,0.41990548751084966,0.2657470703125
ISIC_0016007,0.09559939301972686,0.050199203187251,0.3215291750503018,0.19156077679213618,0.09559939301972686,0.050199203187251,0.31714568880079286,0.18845700824499412,0.09558823529411764,0.05019305019305019
ISIC_0016069,0.458005249343832,0.2970212765957447,0.44984025559105434,0.2901896125309151,0.5279265493496557,0.3586278586278586,0.45202833226014166,0.29201331114808654,0.47411444141689374,0.3107142857142857
ISIC_0015007,0.9380309149143573,0.8832939942302649,0.9376912378303199,0.8826918041372087,0.9380481692885981,0.883324593602517,0.9380309149143573,0.8832939942302649,0.9381615598885794,0.8835257082896117
ISIC_0015056,0.6867585764668163,0.52294921875,0.6867585764668163,0.52294921875,0.6867585764668163,0.52294921875,0.6867585764668163,0.52294921875,0.6867585764668163,0.52294921875
ISIC_0015152,0.4617264226305155,0.3001588465298143,0.4617264226305155,0.3001588465298143,0.4616758306311387,0.3001160872487322,0.46169752796315444,0.30013442502749604,0.4616758306311387,0.3001160872487322
ISIC_0015023,0.3422608338045546,0.20646241627387746,0.3423488276429453,0.20652645945778275,0.34226910213532286,0.20646843379477312,0.3421783400185128,0.20640238228177926,0.3421228475970188,0.20636200161220314
ISIC_0015251,0.015387411401223723,0.007753357753357754,0.015383683604869481,0.00775146484375,0.015385547277242716,0.007752411183005738,0.015387411401223723,0.007753357753357754,0.015389275976976674,0.007754304554890707
ISIC_0014956,0.7055577984120576,0.5450670547873999,0.6875161540449729,0.5238282788499409,0.7012675116744497,0.5399630162317649,0.7073598919648886,0.5472210614291684,0.7096861655256558,0.5500105064089095
ISIC_0015217,0.16281677506167302,0.088623046875,0.16281677506167302,0.088623046875,0.16281677506167302,0.088623046875,0.16281677506167302,0.088623046875,0.16281677506167302,0.088623046875
ISIC_0014369,0.34383401816060466,0.20760842930654252,0.3434333198216457,0.20731632715482964,0.34383401816060466,0.20760842930654252,0.34378170014201664,0.20757028235438232,0.34364226323261005,0.20746862565044383
ISIC_0015174,0.32816326530612244,0.1962890625,0.32816326530612244,0.1962890625,0.32816326530612244,0.1962890625,0.32816326530612244,0.1962890625,0.32816326530612244,0.1962890625
ISIC_0014454,0.6046214188267395,0.4333027803238619,0.6046214188267395,0.4333027803238619,0.604286505603136,0.4329588472340945,0.6043122549855122,0.4329852842400928,0.6046471967597528,0.4333292593497922
ISIC_0013226,0.05049121762429294,0.025899456355751024,0.0504972309891026,0.025902620807624167,0.05049121762429294,0.025899456355751024,0.050458169701297156,0.02588206568184593,0.05048220026193594,0.025894711127397094
ISIC_0014059,0.07505780518171577,0.03899223851176543,0.07507115749525617,0.03899944550551414,0.07507115749525617,0.03899944550551414,0.07503556187766713,0.038980232772954,0.07499555713524081,0.03895864106351551
ISIC_0012974,0.36058679216942874,0.2199486928903005,0.3667342799188641,0.2245404868355688,0.36058679216942874,0.2199486928903005,0.359993990083638,0.2195077261344897,0.366761306023119,0.2245607499844788
ISIC_0012432,0.7031395710289089,0.5421860019175455,0.7063080069215039,0.5459630350194552,0.7095230499282182,0.549814585908529,0.7188588488969978,0.5611082340756085,0.711020022071575,0.5516144814090019
ISIC_0014588,0.10438596491228071,0.05506709856547894,0.1,0.05263157894736842,0.0995850622406639,0.05240174672489083,0.10258620689655172,0.05406633348477965,0.10687022900763359,0.056451612903225805
ISIC_0015985,0.04271867895177695,0.021825518126795868,0.04271867895177695,0.021825518126795868,0.04271867895177695,0.021825518126795868,0.04270845794951549,0.021820182140455963,0.042705903463125784,0.02181884855152182
ISIC_0016012,0.3145631067961165,0.18663594470046083,0.32661290322580644,0.19518072289156627,0.3126177024482109,0.18526785714285715,0.3211009174311927,0.1912568306010929,0.32164129715420253,0.1916403785488959
ISIC_0015254,0.4404228974188018,0.2823989251251985,0.4404438729342287,0.2824161729676907,0.44046485044770434,0.28243342291717566,0.4404228974188018,0.2823989251251985,0.4404954740352549,0.2824586057310442
ISIC_0014727,0.5932357921243433,0.4217023640516018,0.5927694110498676,0.42123118677522825,0.5929434257408533,0.42140695448088444,0.5933741478876298,0.42184220274107914,0.5933903678290702,0.42185859833281875
ISIC_0016008,0.27397549640895646,0.15873210133398605,0.27397549640895646,0.15873210133398605,0.2738597972972973,0.15865443425076453,0.27397549640895646,0.15873210133398605,0.27397549640895646,0.15873210133398605
ISIC_0016004,0.1048050139275766,0.05530038581664523,0.10481109627996053,0.055303772660460555,0.10481109627996053,0.055303772660460555,0.1048050139275766,0.05530038581664523,0.10478069157577163,0.055286842588624256
ISIC_0015011,0.8569335426478284,0.7496795458707196,0.8443143340857788,0.7305743758774339,0.8577305211783162,0.7509003235060734,0.8576110452548636,0.7507172068607703,0.8589636439615546,0.7527925288408717
ISIC_0014968,0.6038300418910831,0.4324903557651093,0.6038300418910831,0.4324903557651093,0.6038558543153935,0.4325168401714636,0.6038300418910831,0.4324903557651093,0.6039493930586425,0.4326128222399118
ISIC_0015481,0.3886935733370834,0.24122883574794904,0.3786659391624608,0.23355207807504627,0.37676822633297063,0.23210993799229093,0.3780471197058423,0.23308144416456758,0.3782531680065404,0.2332381112418081
ISIC_0014653,0.030501638517771615,0.015487008831434787,0.5995810712606335,0.4281440781440781,0.599478565628072,0.42803955078125,0.02928183768774454,0.014858460356090689,0.5997605404943128,0.42832712392353267
ISIC_0012903,0.07327018380277273,0.038028260728006774,0.07332998493219488,0.038060479666319084,0.07367690657919637,0.03824742943218285,0.07400836395894056,0.03842610869851296,0.07614080834419817,0.039577121171049064
ISIC_0013374,0.7226475279106858,0.565738544137845,0.7228886851859232,0.566034202970915,0.7226475279106858,0.565738544137845,0.7228733157936698,0.566015356763843,0.7226233693700882,0.5657089319175516
ISIC_0014645,0.512100985333515,0.34417724609375,0.512100985333515,0.34417724609375,0.512100985333515,0.34417724609375,0.512100985333515,0.34417724609375,0.512100985333515,0.34417724609375
ISIC_0014255,0.4246568352298821,0.26956465405545477,0.4239584394417847,0.2690020682523268,0.41421491089317725,0.2612049474664184,0.42356069127722673,0.26868188894654904,0.41453439597315433,0.2614590912097361
ISIC_0015950,0.055913719346869915,0.028760924812496126,0.055910350644655986,0.028759142184207265,0.055903614457831326,0.02875557759048091,0.055900246973073914,0.02875379562496127,0.05589351322050232,0.028750232356403744
ISIC_0015631,0.37717908082408874,0.232421875,0.37717908082408874,0.232421875,0.37717908082408874,0.232421875,0.37717908082408874,0.232421875,0.37717908082408874,0.232421875
ISIC_0015369,0.17786187322611163,0.0976116303219107,0.17797317602537704,0.09767868051313378,0.17797317602537704,0.09767868051313378,0.17797317602537704,0.09767868051313378,0.1777703567651806,0.09755650580329872
ISIC_0014693,0.7906702096250369,0.65380859375,0.7906702096250369,0.65380859375,0.7906702096250369,0.65380859375,0.7906702096250369,0.65380859375,0.7906702096250369,0.65380859375
ISIC_0013794,0.08091521182148603,0.042163437655240936,0.08083814512768617,0.042121588089330024,0.08096345316878316,0.042189635889151235,0.08093932530694958,0.042176532703894654,0.08094897472579876,0.042181773001180346
ISIC_0015184,0.9152204268900858,0.8436925340198602,0.2667019307061624,0.15386962890625,0.2667019307061624,0.15386962890625,0.2667019307061624,0.15386962890625,0.2667019307061624,0.15386962890625
ISIC_0013085,0.3211054449745024,0.19126004311189496,0.32640750670241286,0.19503404084901882,0.32114989733059546,0.19129158512720157,0.3197117353206126,0.19027195633102642,0.3441226575809199,0.20781893004115226
ISIC_0013529,0.5939329430548164,0.42240726722180166,0.5889830508474576,0.4174174174174174,0.608604407135362,0.4374057315233786,0.591684434968017,0.4201362604087812,0.5779967159277504,0.4064665127020785
ISIC_0015994,0.03031400966183575,0.015390275308112085,0.030555724633270435,0.015514896773395969,0.030559444816460706,0.01551681503461919,0.030553864881314667,0.015513937820631683,0.03031400966183575,0.015390275308112085
ISIC_0014962,0.6394160583941606,0.4699570815450644,0.6392518682419739,0.46977971405780206,0.6392690253671562,0.4697982461519593,0.639442729623759,0.4699858973572874,0.6391924584967048,0.46971554683668465
ISIC_0016054,0.1862045910407845,0.10266019536769674,0.18625647884969068,0.10269174041297935,0.18631878240508445,0.10272962006639616,0.18613199665831245,0.10261606484893146,0.1856872985887321,0.1023458075580327
ISIC_0015161,0.9122444108520964,0.8386483323581042,0.9100705173916488,0.8349810991567316,0.9121578612348823,0.8385020479812756,0.9118890040666614,0.8380477795691045,0.9121212121212121,0.8384401114206128
ISIC_0015264,0.12636514380467723,0.06744384765625,0.12636514380467723,0.06744384765625,0.12636514380467723,0.06744384765625,0.12636514380467723,0.06744384765625,0.12636514380467723,0.06744384765625
ISIC_0012414,0.5591027509162362,0.3880240254964452,0.5590780642882374,0.3880002451431023,0.5588559826985038,0.38778635305647435,0.5588313178568276,0.3877626018251975,0.5588806497175142,0.38781010719754977
ISIC_0016026,0.4826325411334552,0.3180722891566265,0.4768812330009066,0.3130952380952381,0.48188405797101447,0.31742243436754175,0.47924528301886793,0.315136476426799,0.48807339449541287,0.32281553398058255
